Acecino;sustantivo mal escrito;similar a asesino, pero con errores de ortografía.
Aguja;sustantivo delgado;trozo de metal. Si es macizo sirve para coser, si es hueco para inyectar cualquier fluido en un cuerpo, humano, animal o inanimado.
Alambrado;sustantivo de alambre;tejido de hilo metálico de espesores variados utilizado para delimitar el espacio terrestre. Suele tener púas agresivas.
Almohada;sustantivo cervical;objeto que no es una cama ni una sábana. Pensado para dormir, aunque es útil en la guerra contra enemigos alérgicos a las plumas.
Aniversario;sustantivo cíclico;festejo que conmemora haber resistido un año más en cualquier situación. Se aplica a personas parejas e instituciones.
Arco;sustantivo doble;término ambiguo. Designa tanto al arma que arroja flechas como al trozo de madera con el que se frotan los violines.
Arroz;sustantivo hecho de granos;pequeño grano útil como alimento que aumenta su tamaño cuando se hidrata. Proyectil normalmente arrojado a los recién casados.
Artista;sustantivo excéntrico;persona que se dedica a una disciplina inútil. Ser que prefiere explorar el mundo con intuición, renunciando al método científico.
Asfixiante;adjetivo agonizante;palabra útil para describir sucesos tortuosos que nos llevan a la muerte por falta de oxígeno.
Banco;sustantivo financiero;pequeña estructura de madera sobre la que uno puede sentarse. Corporación que presta al deudor el dinero del ahorrista.
Batería;sustantivo que almacena;objeto casi siempre cuadrado que puede guardar la electricidad de los enchufes para usarla más tarde.
Bermuda;sustantivo corto;aquel pantalón al que deshonran guillotinándole toda la tela que tiene por debajo de las rodillas, del usuario.
Bicicleta;sustantivo de dos ruedas;vehículo ambiguo. Al respetar la ley de tránsito molesta automovilistas. Al contrariarla incomoda peatones.
Botella;sustantivo con tapa;elemento muy usado en televisión para desmayar gente. Se consigue en cualquier almacén casi siempre llena de líquido.
Buque;sustantivo a la deriva;muy pero muy parecido a un barco, pero se escribe distinto. Suele, al igual que el barco, encontrarse en el agua.
Cafetera;sustantivo estimulante;instrumento musical de uso hogareño que suena parecido a un redoble de tambor (cuando el agua hierve). Además de ruido, hace café.
Caja;sustantivo de embalar;objeto generalmente prismático útil para guardar distintas cosas. Hay de todos los tamaños. Si son muy grandes son didíciles de abrir.
Cambio;sustantivo en billete;cantidad de dinero que se nos devuelve al comprar un producto cualquiera, siempre menor a la esperada.
Candado;sustantivo cerrojo;objeto inanimado utilizado para cerrar puertas o atar bicicletas con ayuda de cadenas. Barba que requiere mucha atención.
Cara;sustantivo facial;parte del cuerpo que permite a los distintos individuos reconocerse entre sí rápidamente de un vistazo.
Caramelo;sustantivo con azúcar;golosina siempre envuelta de una manera curiosa. Da vueltas cuando se separan sus extremos.
Carta;sustantivo postal;medio de comunicación extremadamente lento, inseguro e incómodo. Suele guardarse en un sobre y requerir estampillas.
Castor;sustantivo dentado;animal famoso por haber invadido los alrededores de Ushuaia. Provocó desastres desviando el agua con diques no autorizados.
Celular;sustantivo por microondas;teléfono sin cables que mientras está enchufado para recargar su batería, rinde homenaje a los teléfonos fijos.
Cerveza;sustantivo fermentado;bebida fermentada muy antigua que refrescaba a los egipcios. Refresca a los jóvenes y refrescará a los viejos.
Charango;sustantivo norteño de cuerda;instrumento de cuerda propio de amédica del sur. Se toca con una postura incómoda y se afina de manera curiosa.
Chorro;sustantivo líquido;una de las tantas formas que tiene el agua para trasladarse. Suele tener un diámetro proporcional a la manguera que lo origina.
Concierto;sustantivo social;evento al que asisten estudiantes de música con intereses, melómanos desinteresados y viejos que tosen o comen caramelos.
Corte;sustantivo sin disyuntor;cuando por un motivo u otro la electricidad no llega a los enchufes. Ni a las luces. Tampoco a las heladeras ni a las licuadoras.
Cremallera;sustantivo de cierre;artilugio que cierra algunas prendas de vestir. Frecuentemente logra que algunos varones vean las estrellas, o incluso griten.
Crepúsculo;sustantivo astronómico;momento del día fácil de reconocer por el característico color del cielo. Desaparición del sol debida a la rotación terrestre.
Crucero;sustantivo naval;hotel de lujo que viaja por el agua en el que los huéspedes pueden hacer casi cualquier cosa. Excepto decidir cuándo salir.
Crucigrama;sustantivo por casilleros;Herramienta del sistema para mantener en uso una serie de palabras inútiles. Ej: Ur, Caín, etc.
Cuento;sustantivo ficcional;pequeño relato que contiene algunos personajes e infinitas posibilidades. Cuanto menos palabras tiene, más deja por escribir.
Cuerito;sustantivo hogareño;anillo negro y pequeño, héroe invisible de las canillas. Acepta ser apretado para detener el agua de las cañerías.
Delincuente;sustantivo ilegal;persona que por alguna razón está al margen de la ley. Puede estar presente en cualquier ámbito, incluso en el que lo combate.
Derretido;adjetivo del pasado;refiere más al estado previo que a la actualidad de una cosa, que ahora es un charco.
Doblar;verbo para las curvas;acción que algunas veces realizamos cuando ya no podemos seguir derecho. Permite achicar hojas si se recurre a la repetición.
Esquina;sustantivo urbano;porción del espacio en donde convergen los lados de un ángulo hecho de calles, por donde cruzan los peatones.
Estornudo;sustantivo reflejo;primitivo método de propulsión a chorro en desuso que permitía desplazarse a algunas antiguas especies similares a los cohetes.
Evacuación;sustantivo urgente;dícese de aquel suceso que al ocurrir un siniestro consiste en que la gente se retire del lugar. Si hay miedo, se muere alguno.
Fardo;sustantivo agropecuario;cilindro hecho de pasto atado con alambre. A veces se forman solos por el viento, pero sin el alambre.
Flecha;sustantivo con punta;pequeño dibujo que presentando la forma de un arma de caza es útil para señalar cualquier cosa en un papel.
Flotar;verbo descansado;permanecer en el agua como al agua le parece. Acción de los objetos que evitan hundirse.
Frazada;sustantivo abrigado;artilugio muy antiguo, aún muy útil, que refleja el calor de un cuerpo evitando que se disipe para abrigarlo.
Fuego;sustantivo que baila;calor en forma de llama. Para existir requiere que algún objeto se queme. Según de que objeto se trate es el color que tiene.
Gas;sustantivo fósil;fluido que suele viajar por adentro de los caños para que el hombre pueda prescindir de la fogata. Si no está en combustión, asfixia.
Gato;sustantivo doble;dícese del animal de compañía del género de los felinos que muchas veces es utilizado para levantar coches en caso de pinchaduras.
Gol;sustantivo con grito;suceso accidental durante el cual una pelota de tamaño variable se mete en un arco de tamaño indiferente.
Hipo;sustan hip tivo;contracción muscular involuntaria e intermitente. Muy común cuando el diafragma hace gimnasia.
Hojaldre;sustantivo gourmet;masa de compleja realización que florece al ser sumergida en aceite caliente.
Incoherencia;palabra difícil;véase la definición de mate con facturas.
Inercia;sustantivo de newton;propiedad con la que los cuerpos intentan conservar su estado de movimiento. Si el aire no fuera viscoso, sería invensible.
Libro;sustantivo encuadernado;ladrillo compuesto de cierta cantidad de páginas, apto para la construcción de cualquier inmueble. También útil para la lectura.
Luna;sustantivo satelital;dícese del satélite natural de nuestro planeta, más bien blanco y redondo. A veces no puede verse completo. Siempre está solo.
Maestro;sustantivo pedagógico;dícese de la persona a cargo de la educación de un grupo de niños casi siempre problemático. Suele usar guardapolvo.
Mano;sustantivo anatómico;extremidad que suele usarse para tomar diversos objetos y para rascarse distintas partes del cuerpo, excepto la espalda.
Manopla;sustantivo gimnástico;elemento de tortura voluntaria que agrandando virtualmente las manos del nadador persigue el fin de hacerle doler los hombros.
Mañana;sustantivo momentáneo;momento terrible del día cuando el sol intenta levantarnos con su atracción gravitatoria, aunque siempre el colchón es más fuerte.
Maravilla;sustantivo fantástico;precipicio mediano por el que pasa un río haciendo un ruido tremendo. Isla tropical habitada por tortugas enormes.
Marco;sustantivo en el borde;límite, ya sea físico o virtual, que aísla de la totalidad a cualquier obra u objeto. Hace saber a dónde comienza y termina una cosa.
Marioneta;sustantivo con piolines;muñeco gracioso que puede controlarse a través de unos cuantos hilos que siempre se enredan. Nos representa perfectamente.
Marmota;sustantivo marino;cualquier personar fuertemente vinculada con un mamífero marino. Ya sea por parecido físico o torpeza anatómica.
Martillo;sustantivo violento;letra T de peso moderado apta para perpetrar diversos crímenes violentos. Se lleva muy bien con los clavos.
Maseta;sustantivo de jardín;aquel recipiente lleno de tierra en que pueden plantarse distintas especies botánicas, para luego ahogarlas o matarlas de sed.
Matemática;sustantivo derivado;ciencia famosa por complicarle la vida a muchos chicos en la escuela, útil para saber si el panadero nos da bien el vuelto.
Mensaje;sustantivo informativo;pequeña porción de información que viaja hasta mostrarse a su destinatario en forma de audio o texto. Mucha onda.
Metro;sustantivo abstracto;porción imprecisa del espacio. Se basa, como casi todo, en una convención acordada por personas desconocidas.
Microondas;sustantivo irradiante;antena parabólica con forma de horno que emite ondas electromagnéticas para calentar materia orgánica con rapidez.
Miga;sustantivo que ensucia;desprendimiento involuntario de una porción pequeñísima de cualquier alimento seco.
Mosquito;sustantivo hematófogo;animalito muy pequeño que viene a ser como la versión pequeña del vampiro. Te chupa la sangre pero lo peor es que deja ronchas.
Muerte;sustantivo concluyente;finalización de la vida. Aunque algunos creen que sigue en alguna otra parte, no hay evidencia científica de que sea así.
Nadar;verbo fluido;acto coreográfico que se baila con el fin de desplazar el propio cuerpo a través de un líquido.
Nanotecnología;sustantivo especializado;reúne los conocimientos de un estado de la técnica desconocido que no ve nadie. Aparatitos muy chiquitos. Mínimos.
Navidad;sustantivo festivo;más corto que natividad. Fiesta religiosa en la que suele aparecer un gordo barbudo ridículamente abrigado.
Neurotransmisor;sustantivo histológico;"molécula condenada a salir de una neurona para entrar en otra. Suele llevar un mensaje como: ""che, activate""."
Nube;sustantivo de algodón;porción de espuma que viaja por el cielo y le hace cosquillas a los aviones. Cuando muere moja, porque se desvanece hecha lluvia.
Onda;sustantivo oscilante;movimiento armónico de un grupo de elementos que a pesar de permanecer en una posición pueden trasladar información.
Onomatopeya;"sustantivo ""clack""";efecto de sonido de la vida real. Muchas veces no presenta ninguna relación con aquel que intenta imitar.
Ordenar;verbo aburrido;acción y efecto de negar la segunda ley termodinámica. Intento inútil de evitar que todo se vuelva un sistema homogéneo.
Orquesta;sustantivo clásico;grupo de personas que toca diversos instrumentos, haciendo una gran cantidad de ruido, que la gente aplaude.
Ortografía;sustantivo reglamentado;rígida ley de un idioma útil para escribir correctamente. No enseña nada acerca de cómo hacerlo de una manera bonita.
Paisaje;sustantivo panorámico;una gran porción del planeta vista de golpe. Suele ser estático, por lo que muy poca gente se detiene a mirarlo.
Pantalón;sustantivo para las piernas;prenda textil que hoy es usada indistintamente por mujeres y varones. Puede romperse con el uso o comprarse roto.
Papel;sustantivo de celulosa;cosa que se obtiene luego de asesinar un árbol. No da oxígeno pero sirve para escribir. Incluso para dibujar.
Pared;sustantivo prismático;Protuberancia rectangular prismática que saliendo de la tierra obliga a la atmósfera a dividirse en dos.
Parlante;sustantivo vibrante;objeto inanimado que da vida a distintos tipos de sonidos. Dependiendo de su diámetro, ruge o chilla.
Pedal;sustantivo para el pie;objeto diseñado para ser activado con el pie. Presenta utilidades contradictorias. Está presente tanto en pianos como automóviles.
Péndulo;sustantivo periódico;objeto desequilibrado, que por tener la mayor parte del peso en una punta, oscila si se lo cuelga.
Perro;sustantivo que ladra;mamífero cuadrúpedo que suele ser muy buen compañero de los hombres. Puede pararse en dos patas o traer el diario.
Persiana;sustantivo oscuro;objeto que consiste en una serie de tiras rectangulares unidas de alguna forma. Es muy útil para dejar al sol fuera de casa.
Perturbación;sustantivo estresado;anomalía que viaja a través de un medio con distintas velocidades. Sirve para generar ondas estacionarias.
Piano;sustantivo con teclas;instrumento musical constituido por una finita pero abundante cantidad de martillos que golpean cuerdas siempre que se pulsen teclas.
Pirotecnia;sustantivo con luz y ruido;armas de una guerra imaginaria, hechas de ruido y luces de colores, con la que muchos festejan distintas fechas importantes.
Plaza;sustantivo verde;espacio público en el que la gente transita o se detiene, pudiendo olvidarse cualquier cantidad de cosas.
Pomo;sustantivo colapsable;tipo de envase que suele usarse para la pasta de dientes que es presionado casi siempre por el centro.
Quena;sustantivo norteño de viento;tubo con agujeros que se sopla por una punta y por la otra emite distintos ritmos andinos.
Radiografía;sustantivo radiológico;fotografía que con la excusa del diagnóstico médico atenta contra nuestra privacidad incluso más que un paparazi.
Rayo;sustantivo instantáneo;espectáculo natural capaz de electrocutar gente y provocar incendios forestales. Se lo puede cazar usando un cable bien alto.
Red;sustantivo extensivo;millones de puntos unidos con líneas. Las líneas pueden ser de tela u ondas electromagnéticas. Los puntos, nudos o computadoras.
Reloj;sustantivo ;cualquier ser o cosa que ha sido condenado a contar indefinidamente los segundos del tiempo. Los hay mecánicos y llenos de arena.
Remate;sustantivo doble;acción y efecto de impactar una pelota en el aire con suma potencia, para subastar una casa.
Rendir;verbo para aprobar;situación emocionante a la que nos obliga el sistema educativo. Útil para establecer cuánta gente come con un paquete de fideos.
Revuelto;titansusvo mareado;dícese de ese montón de comidas que uno junta al fuego para luego comerlo todo mezclado. Es común usar huevo como adherente.
Rueda;sustantivo redondo;invento antiguo con poderes mágicos, capaz de reducir el peso de las cosas para permitir su traslado en carreta.
Ruido;sustantivo ondulante;aquella porción de la música a la ni siquiera los compositores más vanguardistas le han encontrado un patrón de ordenamiento.
Sábado;sustantivo semanal;día ambiguo de la semana que es tan laborable como vacacional. Mucha gente se ve en los parques si es que no llueve.
Sábana;sustantivo político;lista proselitista fraudulenta usada en algunos países para que la gente vote sin saber quién será el legislador.
Saco;sustantivo de etiqueta;porción superior del traje. Prenda de vestir considerada elegante siempre que renuncie a los colores vivos y diseños psicodélicos.
Saltar;verbo cansador;impulsarse con las piernas para dejar de tocar el suelo un instante. Dependiendo del sujeto, la duración del instante.
Sanatorio;sustantivo internado;laberinto edilicio en donde se escuchan risas y quejidos por igual. Algunos, no logran salir con vida.
Seno;sustantivo sensual;función trigonométrica que es a los vectores como las frituras al estómago. Los descompone.
Siesta;sustantivo relax;dícese de transformar la tarde en un momento inútil. Derecho civil irrenunciable en algunos pueblos pequeños.
Sorpresa;sustantivo inesperado;sensación difícil de explicar. Tiene su origen en lo inesperado. ¡GOL! A no, era posición adelantada.
Suerte;sustantivo azaroso;dícese de esa extraña cosa que sirve para no perder ningún partido de canasta. Posee otras utilidades prescindibles.
Supremo;adjetivo hiperbólico;adjetivo que modifica a cualquier sustantivo exagerando su importancia. Con terminación femenina se transforma en pollo.
Tarta;sustantivo circular;alimento hecho a base de vacío. Vacío que puede ser relleno con cualquier cosa,  resultando su contenido calórico, indecifrable.
Teatro;sustantivo con telón;locación en la que de una manera inexplicable suceden cosas imposibles. Allí uno puede transformarse, pero tiene que ser actor.
Tecla;sustantivo táctil;parte constitutiva de un objeto mucho más grande que sirve para activar algún mecanismo del mismo.
Teléfono;sustantivo inteligente;aparato útil para jugar al ajedrez y navegar por internet. También sirve para comunicarse.
Televisor;sustantivo para el entretenimiento;artefacto ya viejo pero actual que, con distintas tecnologías, consigue que dejemos de ver por las ventanas.
Temperatura;sustantivo perceptivo;magnitud que mide qué cantidad de abrigo necesitamos en cada momento para evitar gripes y resfríos.
Tenedor;sustantivo protocolar;artículo que se encuentra en el cajón de la cocina, utilizado para acercar alimentos a la boca por medio de un sistema de pinches.
Tiburón;sustantivo que muerde;animal temible, muy peligroso si se encuentra dentro del agua. Suele aparecer acompañado de una música de suspenso semitonal.
Tiro;sustantivo parabólico;otra manera de decir disparo. Se aplica tanto a armas de fuego como a aquellos deportes en los que se utilizan uno o dos arcos.
Tormenta;sustantivo climático;evento violento con el que la naturaleza le recuerda a la humanidad que no controla el mundo. Puede combinarse con tsunamis.
Tornillo;sustantivo mínimo;pequeño trozo de metal que sirve para mirarlo mientras uno le da vueltas, generando la ilusión del movimiento longitudinal.
Triángulo;sustantivo geométrico;figura que puede verse en la pared cuando se le pasa la hidrolavadora angularmente, sin ningún desplazamiento horizontal.
Vaso;sustantivo ambiguo;recipiente que, cuando no está vacío, contiene líquido. Órgano del cuerpo de utilidad dudosa.
Ventilador;sustantivo rotatorio;artilugio humano capaz de obligar al aire a moverse produciendo viento artificial. Ayuda a soportar el calor.
Venus;sustantivo planetario;planeta blanco de atmósfera tóxica cuyo día dura más de un año. Es más caliente que Mercurio.
Verso;sustantivo lineal;cualquier renglón de un poema. En Argentina, cosa que se cuenta como cierta siendo una mentira descarada.
Viajar;verbo caro;acción por la cual uno cambia de posición en el espacio. No existe otra forma de trasladarse.
Zapato;sustantivo con suela;porción de la indumentaria que abriga los pies. Tiene como función secundaria la protección plantar y la elevación del cuerpo.
